family,model_name,distance,method,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j,split
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.712612945941544,0.8330693696547355,0.22613065326633167,0.6607142857142857,0.7047619047619048,0.9312638580931264,0.8774422735346359,0.6820276497695853,0.5919781438074121,rep5_fold2
Distance-based functional,weighted kNN,cosine,weighted kNN + cosine,0.7131588079882997,0.8332079505859994,0.2914572864321608,0.6607142857142857,0.7184466019417476,0.9356984478935698,0.8809946714031972,0.6883720930232559,0.5964127336078555,rep5_fold2
Distance-based functional,weighted kNN,seuclidean,weighted kNN + seuclidean,0.7710786233988585,0.8657546721571112,0.21608040201005024,0.7321428571428571,0.7735849056603774,0.9467849223946785,0.9040852575488455,0.7522935779816514,0.6789277795375357,rep5_fold2
Distance-based functional,weighted kNN,correlation,weighted kNN + correlation,0.5231781374199846,0.7235607380424454,0.2562814070351759,0.45535714285714285,0.5151515151515151,0.893569844789357,0.8063943161634103,0.4834123222748815,0.34892698764649976,rep5_fold2
Distance-based functional,centroid,euclidean,centroid + euclidean,0.5600648042348795,0.7888818498574596,0.3417085427135678,0.6785714285714286,0.41530054644808745,0.7627494456762749,0.7460035523978685,0.5152542372881356,0.4413208742477035,rep5_fold2
Distance-based functional,centroid,cosine,centroid + cosine,0.5580670062792543,0.788584890719037,0.30150753768844224,0.6785714285714286,0.41081081081081083,0.7583148558758315,0.7424511545293073,0.5117845117845118,0.4368862844472601,rep5_fold2
Distance-based functional,centroid,seuclidean,centroid + seuclidean,0.5597333945304022,0.803036902122268,0.33668341708542715,0.7053571428571429,0.46745562130177515,0.8004434589800443,0.7815275310834814,0.5622775800711743,0.5058006018371872,rep5_fold2
Distance-based functional,centroid,correlation,centroid + correlation,0.47093768075200404,0.7129197022489706,0.3417085427135678,0.6964285714285714,0.2698961937716263,0.532150776053215,0.5648312611012434,0.38902743142144636,0.22857934748178632,rep5_fold2
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.7347427212775454,0.8867397846056382,0.24623115577889448,0.6696428571428571,0.7009345794392523,0.9290465631929047,0.8774422735346359,0.684931506849315,0.5986894203357618,rep5_fold3
Distance-based functional,weighted kNN,cosine,weighted kNN + cosine,0.7348324081223209,0.8867991764333227,0.38190954773869346,0.6696428571428571,0.7352941176470589,0.9401330376940134,0.8863232682060391,0.7009345794392523,0.6097758948368703,rep5_fold3
Distance-based functional,weighted kNN,seuclidean,weighted kNN + seuclidean,0.8328876692459944,0.9131097560975611,0.23618090452261306,0.8214285714285714,0.7479674796747967,0.9312638580931264,0.9094138543516874,0.7829787234042553,0.7526924295216979,rep5_fold3
Distance-based functional,weighted kNN,correlation,weighted kNN + correlation,0.5413234335031709,0.7636997149192271,0.2562814070351759,0.4642857142857143,0.5360824742268041,0.9002217294900222,0.8134991119005328,0.49760765550239233,0.3645074437757365,rep5_fold3
Distance-based functional,centroid,euclidean,centroid + euclidean,0.5643227321667241,0.7826457079505862,0.35678391959798994,0.7678571428571429,0.4,0.7139689578713969,0.7246891651865008,0.5259938837920489,0.4818261007285398,rep5_fold3
