method_family,J,classifier,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,specificity_mean,specificity_std,accuracy_mean,accuracy_std,f1_mean,f1_std,youden_j_mean,youden_j_std,youden_threshold_mean,youden_threshold_std
FPCA,15,centroid,0.30001319169687635,0.026275381234394508,0.6497878763950964,0.02392328995798115,0.8673696911196912,0.031218254563955,0.2599849723090445,0.009199804713942312,0.38928291113160524,0.022512961664244026,0.48404973357015985,0.017968280425789292,0.3999880727902782,0.013197290745568966,0.2566526022512964,0.034608813409047985,0.0728643216080402,0.006829252545025287
FPCA,15,knn,0.5709259110961326,0.039390950442285806,0.8000860452460388,0.02473077395112805,0.6093211068211069,0.0460397141095296,0.5555376511084874,0.031217483874955862,0.8790880638894885,0.014311561056514844,0.8256127886323269,0.012816845186434875,0.5804121690382776,0.031293541688493125,0.4884091707105952,0.04480203697523712,0.20100502512562815,0.0
FPCA,15,linear_svm,0.6563929518731471,0.04253191562247932,0.8527032449930679,0.019011577206262967,0.7247619047619048,0.05480532844916352,0.5128675361264527,0.056610238533379896,0.8249106214312344,0.040163262935147714,0.805044404973357,0.02679253829148042,0.5970048513586701,0.03172597419067329,0.5496725261931392,0.04332228105394583,0.290251256281407,0.010529052185096395
FPCA,15,lr,0.5605922817668098,0.046643850119068644,0.8067052600378739,0.02162801154578746,0.6599726512226511,0.08321262485885515,0.4524381243981312,0.07254414652409459,0.7886847320605145,0.07673632765717493,0.763126110124334,0.04792414492967763,0.5278859782940022,0.034334081228123446,0.4486573832831657,0.04181820992164349,0.4148743718592965,0.026222789058324942
FPCA,15,weighted_knn,0.6162028102499781,0.041271024973861044,0.8032823346004601,0.0242187025628683,0.621690797940798,0.06006514901888222,0.5374406829169289,0.0578047083458201,0.8628763024154779,0.04574045636614415,0.8150621669626998,0.030722028324493063,0.5727292505612824,0.03734726017938438,0.4845671003562758,0.047924862816629527,0.2884422110552764,0.0625169879600208
FPLS,1,centroid,0.48510311777676607,0.06337934938937319,0.6963200660365024,0.055852224714513135,0.46993243243243243,0.08907522520264106,0.44318663209315723,0.047741423875242224,0.8521581343327511,0.038848196832003225,0.7763765541740675,0.023471543096036645,0.4520851353888464,0.052003863966780424,0.32209056676518366,0.06972079550559834,0.21628140703517587,0.036392231433282664
FPLS,1,knn,0.3750295850477768,0.044140790643364375,0.6430684058653248,0.03952093210213548,0.38033462033462034,0.10351694126347019,0.4191099031568825,0.10760728126639449,0.8490600043168572,0.07392505170766321,0.7561278863232682,0.044710947864248014,0.37795053467669076,0.05340518969322091,0.22939462465147767,0.0635668177801269,0.2693467336683417,0.09618454687405155
FPLS,1,linear_svm,0.48510311777676607,0.06337934938937319,0.6963200660365024,0.055852224714513135,0.46993243243243243,0.08907522520264106,0.44318663209315723,0.047741423875242224,0.8521581343327511,0.038848196832003225,0.7763765541740675,0.023471543096036645,0.4520851353888464,0.052003863966780424,0.32209056676518366,0.06972079550559834,0.21628140703517587,0.036392231433282664
FPLS,1,lr,0.48510311777676607,0.06337934938937319,0.6963200660365024,0.055852224714513135,0.46993243243243243,0.08907522520264106,0.44318663209315723,0.047741423875242224,0.8521581343327511,0.038848196832003225,0.7763765541740675,0.023471543096036645,0.4520851353888464,0.052003863966780424,0.32209056676518366,0.06972079550559834,0.21628140703517587,0.036392231433282664
FPLS,1,weighted_knn,0.3747735002941581,0.040208642291763075,0.6348503515818161,0.03767445055736104,0.42316441441441444,0.12041247410983086,0.3329980908539864,0.06324730499659331,0.7725423346349313,0.1007433400259166,0.7033392539964476,0.06159364656014372,0.3578846888121526,0.04372119605753978,0.19570674904934562,0.061969156054984105,0.3099497487437186,0.15080995773703645
