split,method_family,J,classifier,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j
rep0_fold1,FPLS,1,centroid,0.47615599390691127,0.679362991309894,0.21608040201005024,0.4774774774774775,0.43089430894308944,0.8451327433628318,0.7726465364120781,0.452991452991453,0.3226102208403092
rep0_fold1,FPLS,1,knn,0.37123291923397517,0.6353344494937414,0.20100502512562815,0.4144144144144144,0.3511450381679389,0.8119469026548672,0.7335701598579041,0.38016528925619836,0.22636131706928175
rep0_fold1,FPLS,1,weighted_knn,0.37636358773761036,0.6315076138084987,0.30150753768844224,0.44144144144144143,0.35251798561151076,0.8008849557522124,0.7300177619893428,0.392,0.2423263971936538
rep0_fold1,FPLS,1,lr,0.47615599390691127,0.679362991309894,0.21608040201005024,0.4774774774774775,0.43089430894308944,0.8451327433628318,0.7726465364120781,0.452991452991453,0.3226102208403092
rep0_fold1,FPLS,1,linear_svm,0.47615599390691127,0.679362991309894,0.21608040201005024,0.4774774774774775,0.43089430894308944,0.8451327433628318,0.7726465364120781,0.452991452991453,0.3226102208403092
rep0_fold1,FPCA,2,centroid,0.27664384625202004,0.6227975763373994,0.08040201005025126,0.8468468468468469,0.2493368700265252,0.37389380530973454,0.46714031971580816,0.38524590163934425,0.22074065215658134
rep0_fold1,FPCA,2,knn,0.2959070501340507,0.6721079486566213,0.20100502512562815,0.43243243243243246,0.31788079470198677,0.7721238938053098,0.7051509769094139,0.366412213740458,0.20455632623774234
rep0_fold1,FPCA,2,weighted_knn,0.32087146226816,0.6806386032049749,0.16080402010050251,0.6756756756756757,0.28846153846153844,0.5907079646017699,0.6074600355239786,0.40431266846361186,0.26638364027744554
rep0_fold1,FPCA,2,lr,0.34453499333494064,0.71352547237503,0.3768844221105528,0.6936936936936937,0.32489451476793246,0.6460176991150443,0.655417406749556,0.4425287356321839,0.33971139280873786
rep0_fold1,FPCA,2,linear_svm,0.3559462272074398,0.7206210635414175,0.3768844221105528,0.5855855855855856,0.3672316384180791,0.7522123893805309,0.7193605683836589,0.4513888888888889,0.3377979749661164
rep0_fold1,FPLS,2,centroid,0.5829274776373594,0.8349477796380451,0.3869346733668342,0.6756756756756757,0.4716981132075472,0.8141592920353983,0.7868561278863233,0.5555555555555556,0.48983496771107404
rep0_fold1,FPLS,2,knn,0.5216101319302294,0.8196005740253528,0.20100502512562815,0.6756756756756757,0.5319148936170213,0.8539823008849557,0.8188277087033747,0.5952380952380952,0.5296579765606313
rep0_fold1,FPLS,2,weighted_knn,0.5463220604694689,0.8201486885115203,0.05527638190954774,0.8288288288288288,0.40707964601769914,0.7035398230088495,0.7282415630550622,0.5459940652818991,0.5323686518376785
rep0_fold1,FPLS,2,lr,0.607045663061148,0.8546201068324962,0.2613065326633166,0.6936936936936937,0.4723926380368098,0.8097345132743363,0.7868561278863233,0.5620437956204379,0.50342820696803
rep0_fold1,FPLS,2,linear_svm,0.6062742686394889,0.8520688830423344,0.2763819095477387,0.6936936936936937,0.4723926380368098,0.8097345132743363,0.7868561278863233,0.5620437956204379,0.50342820696803
rep0_fold1,FPCA,3,centroid,0.280207466474794,0.6308299449892371,0.07035175879396985,0.8738738738738738,0.25392670157068065,0.3694690265486726,0.4689165186500888,0.3935091277890467,0.24334290042254647
rep0_fold1,FPCA,3,knn,0.49828218658863777,0.7899724946185123,0.20100502512562815,0.5675675675675675,0.4921875,0.8561946902654868,0.7992895204262878,0.5271966527196653,0.42376225783305443
rep0_fold1,FPCA,3,weighted_knn,0.5533660278575367,0.8006358128039543,0.18592964824120603,0.7117117117117117,0.44886363636363635,0.7853982300884956,0.7708703374777975,0.5505226480836237,0.4971099418002072
rep0_fold1,FPCA,3,lr,0.4878393855845891,0.7918161524356214,0.4371859296482412,0.5405405405405406,0.5042016806722689,0.8694690265486725,0.8046181172291297,0.5217391304347826,0.410009567089213
rep0_fold1,FPCA,3,linear_svm,0.5630249715072346,0.8264370565255521,0.271356783919598,0.7207207207207207,0.42328042328042326,0.7588495575221239,0.7513321492007105,0.5333333333333333,0.4795702782428446
rep0_fold1,FPLS,3,centroid,0.585676773128985,0.8360440086103803,0.38190954773869346,0.6756756756756757,0.4716981132075472,0.8141592920353983,0.7868561278863233,0.5555555555555556,0.48983496771107404
rep0_fold1,FPLS,3,knn,0.6536265016268158,0.8422626165988998,0.20100502512562815,0.6666666666666666,0.6666666666666666,0.918141592920354,0.8685612788632326,0.6666666666666666,0.5848082595870205
rep0_fold1,FPLS,3,weighted_knn,0.686701779720911,0.8438372000318903,0.24623115577889448,0.6846846846846847,0.6178861788617886,0.8960176991150443,0.8543516873889876,0.6495726495726496,0.5807023837997289
rep0_fold1,FPLS,3,lr,0.7155755844431274,0.8857928725185363,0.23618090452261306,0.6846846846846847,0.6972477064220184,0.9269911504424779,0.8792184724689165,0.6909090909090909,0.6116758351271625
rep0_fold1,FPLS,3,linear_svm,0.714937462391777,0.8850354779558319,0.24120603015075376,0.6756756756756757,0.6944444444444444,0.9269911504424779,0.8774422735346359,0.684931506849315,0.6026668261181536
rep0_fold1,FPCA,5,centroid,0.2802516994439733,0.6308299449892371,0.07035175879396985,0.8738738738738738,0.25392670157068065,0.3694690265486726,0.4689165186500888,0.3935091277890467,0.24334290042254647
rep0_fold1,FPCA,5,knn,0.4886527216574229,0.7721338595232401,0.20100502512562815,0.5405405405405406,0.4878048780487805,0.8606194690265486,0.7975133214920072,0.5128205128205128,0.4011600095670893
rep0_fold1,FPCA,5,weighted_knn,0.5422375335346078,0.7774156900263095,0.23618090452261306,0.5765765765765766,0.45714285714285713,0.831858407079646,0.7815275310834814,0.5099601593625498,0.40843498365622244
rep0_fold1,FPCA,5,lr,0.487117919886991,0.7917164952563183,0.4371859296482412,0.5495495495495496,0.5041322314049587,0.8672566371681416,0.8046181172291297,0.5258620689655172,0.4168061867176913
rep0_fold1,FPCA,5,linear_svm,0.5643735784444035,0.826835685242765,0.2763819095477387,0.6846846846846847,0.4198895027624309,0.7676991150442478,0.7513321492007105,0.5205479452054794,0.4523837997289326
rep0_fold1,FPLS,5,centroid,0.5863598930078067,0.8363828430200112,0.38190954773869346,0.6756756756756757,0.4716981132075472,0.8141592920353983,0.7868561278863233,0.5555555555555556,0.48983496771107404
rep0_fold1,FPLS,5,knn,0.7131940553407684,0.865273459300008,0.20100502512562815,0.7387387387387387,0.7068965517241379,0.9247787610619469,0.8880994671403197,0.7224669603524229,0.6635174998006856
rep0_fold1,FPLS,5,weighted_knn,0.7335298893826733,0.8636789444311568,0.38190954773869346,0.7117117117117117,0.7596153846153846,0.9446902654867256,0.8987566607460036,0.7348837209302326,0.6564019771984373
rep0_fold1,FPLS,5,lr,0.8207796781190522,0.9022961014111457,0.19095477386934673,0.7747747747747747,0.7889908256880734,0.9491150442477876,0.9147424511545293,0.7818181818181819,0.7238898190225624
rep0_fold1,FPLS,5,linear_svm,0.8219259041598896,0.9025950729490553,0.19095477386934673,0.7747747747747747,0.7678571428571429,0.9424778761061947,0.9094138543516874,0.7713004484304933,0.7172526508809693
rep0_fold1,FPCA,10,centroid,0.2803781343362862,0.6309296021685402,0.07035175879396985,0.8738738738738738,0.25392670157068065,0.3694690265486726,0.4689165186500888,0.3935091277890467,0.24334290042254647
rep0_fold1,FPCA,10,knn,0.5109641501393042,0.775093677748545,0.20100502512562815,0.5675675675675675,0.5384615384615384,0.8805309734513275,0.8188277087033747,0.5526315789473685,0.4480985410188949
rep0_fold1,FPCA,10,weighted_knn,0.5567412369891489,0.7778242844614526,0.25125628140703515,0.5855855855855856,0.5158730158730159,0.8650442477876106,0.8099467140319716,0.5485232067510548,0.4506298333731962
rep0_fold1,FPCA,10,lr,0.4890444900096703,0.79239416407558,0.4371859296482412,0.5495495495495496,0.5,0.8650442477876106,0.8028419182948491,0.5236051502145923,0.4145937973371603
rep0_fold1,FPCA,10,linear_svm,0.5691274768280298,0.8284501315474767,0.2914572864321608,0.6756756756756757,0.45454545454545453,0.8008849557522124,0.7761989342806395,0.5434782608695652,0.47656063142788807
rep0_fold1,FPLS,10,centroid,0.5865962213248463,0.8364426373275932,0.3869346733668342,0.6756756756756757,0.4838709677419355,0.8230088495575221,0.7939609236234458,0.5639097744360902,0.49868452523319773
rep0_fold1,FPLS,10,knn,0.7175358548813473,0.8571812963405885,0.20100502512562815,0.7387387387387387,0.6890756302521008,0.918141592920354,0.8827708703374778,0.7130434782608696,0.6568803316590928
