wavelength,beta_logreg,beta_svm,abs_beta_logreg,abs_beta_svm
544.0,-0.06397271184604665,-0.02502891714875732,0.06397271184604665,0.02502891714875732
546.0,-0.06468577990541866,-0.02533398030524704,0.06468577990541866,0.02533398030524704
548.0,-0.06537504629611388,-0.025512568815789338,0.06537504629611388,0.025512568815789338
550.0,-0.06599771179970094,-0.025559358723557656,0.06599771179970094,0.025559358723557656
552.0,-0.06654621126686683,-0.025495683959091117,0.06654621126686683,0.025495683959091117
554.0,-0.06702340957492273,-0.025354558631107763,0.06702340957492273,0.025354558631107763
556.0,-0.06742311715991063,-0.025168421159513076,0.06742311715991063,0.025168421159513076
558.0,-0.06772246830280834,-0.024962749627916652,0.06772246830280834,0.024962749627916652
560.0,-0.06788245262485991,-0.024753589623229873,0.06788245262485991,0.024753589623229873
562.0,-0.06785639805564696,-0.02454864794619611,0.06785639805564696,0.02454864794619611
564.0,-0.06759977782607512,-0.0243490823830453,0.06759977782607512,0.0243490823830453
566.0,-0.06708031430199532,-0.0241518908009842,0.06708031430199532,0.0241518908009842
568.0,-0.06628482292757792,-0.023951817065360842,0.06628482292757792,0.023951817065360842
570.0,-0.06522377269969598,-0.02374341682007306,0.06522377269969598,0.02374341682007306
572.0,-0.0639337506374208,-0.02352346189319346,0.0639337506374208,0.02352346189319346
574.0,-0.0624773965668135,-0.023293298623958455,0.0624773965668135,0.023293298623958455
576.0,-0.06094076406915249,-0.023060831671444817,0.06094076406915249,0.023060831671444817
578.0,-0.059427341672809095,-0.022841529225610408,0.059427341672809095,0.022841529225610408
580.0,-0.05804775938502717,-0.022657297194128442,0.05804775938502717,0.022657297194128442
582.0,-0.05690759241884973,-0.02253368828358734,0.05690759241884973,0.02253368828358734
584.0,-0.056096267917136226,-0.022496342451340138,0.056096267917136226,0.022496342451340138
586.0,-0.05567743953078123,-0.02256676452486777,0.05567743953078123,0.02256676452486777
588.0,-0.05568586387199279,-0.022759927266768613,0.05568586387199279,0.022759927266768613
590.0,-0.05612463250194704,-0.023081648923388536,0.05612463250194704,0.023081648923388536
592.0,-0.056967171120226895,-0.02352791233808342,0.056967171120226895,0.02352791233808342
594.0,-0.05815826329518319,-0.02408401598087102,0.05815826329518319,0.02408401598087102
596.0,-0.059617279038338765,-0.02472490747826118,0.059617279038338765,0.02472490747826118
598.0,-0.06124073724593235,-0.025415538376505287,0.06124073724593235,0.025415538376505287
600.0,-0.06290584421678705,-0.026111850625928766,0.06290584421678705,0.026111850625928766
602.0,-0.06447651845988418,-0.026762917758046186,0.06447651845988418,0.026762917758046186
604.0,-0.0658104994284508,-0.02731373016055694,0.0658104994284508,0.02731373016055694
606.0,-0.06676870209842398,-0.027709011570596447,0.06676870209842398,0.027709011570596447
608.0,-0.06722693560615993,-0.027898157723651108,0.06722693560615993,0.027898157723651108
610.0,-0.06708686716050763,-0.027840003843162438,0.06708686716050763,0.027840003843162438
612.0,-0.06628708778755446,-0.02750775230805767,0.06628708778755446,0.02750775230805767
614.0,-0.0648103637343684,-0.02689239719691308,0.0648103637343684,0.02689239719691308
616.0,-0.06268496698451068,-0.026003708738993974,0.06268496698451068,0.026003708738993974
618.0,-0.05998119873612042,-0.024869196607870528,0.05998119873612042,0.024869196607870528
620.0,-0.05680223270744327,-0.02353058337506535,0.05680223270744327,0.02353058337506535
622.0,-0.05327130773506667,-0.022038640553292684,0.05327130773506667,0.022038640553292684
624.0,-0.049518305708655584,-0.020447646008647333,0.049518305708655584,0.020447646008647333
626.0,-0.045668751680462145,-0.018810718968695336,0.045668751680462145,0.018810718968695336
628.0,-0.04183473116592173,-0.017175911282363707,0.04183473116592173,0.017175911282363707
630.0,-0.03811048123188817,-0.015584186394873292,0.03811048123188817,0.015584186394873292
