source_id,idx,flux,flux_error,wavelength
2117325697617090304,68,9.8944413e-17,1.8254524e-18,
2117325697617090304,69,9.975763e-17,1.8205782e-18,
2117325697617090304,70,1.007461e-16,1.7626474e-18,
2117325697617090304,71,1.0143619e-16,1.6887035e-18,
2117325697617090304,72,1.0163118e-16,1.6527307e-18,
2117325697617090304,73,1.0081328e-16,1.6523861e-18,
2117325697617090304,74,9.9391964e-17,1.6530796e-18,
2117325697617090304,75,9.7336904e-17,1.6185509e-18,
2117325697617090304,76,9.534808e-17,1.5609409e-18,
2117325697617090304,77,9.383226e-17,1.5125815e-18,
2117325697617090304,78,9.308032e-17,1.4959029e-18,
2117325697617090304,79,9.2934695e-17,1.4978291e-18,
2117325697617090304,80,9.3242307e-17,1.4914574e-18,
2117325697617090304,81,9.381484e-17,1.4629926e-18,
2117325697617090304,82,9.4228954e-17,1.4194627e-18,
2117325697617090304,83,9.3807165e-17,1.3784779e-18,
2117325697617090304,84,9.283981e-17,1.3638714e-18,
2117325697617090304,85,9.1105865e-17,1.3674252e-18,
2117325697617090304,86,8.8940187e-17,1.3707051e-18,
2117325697617090304,87,8.675736e-17,1.3579821e-18,
2117325697617090304,88,8.484439e-17,1.3270321e-18,
2117325697617090304,89,8.361478e-17,1.2933658e-18,
2117325697617090304,90,8.3281874e-17,1.2740768e-18,
2117325697617090304,91,8.3864924e-17,1.2743213e-18,
2117325697617090304,92,8.5098614e-17,1.2820042e-18,
2117325697617090304,93,8.703999e-17,1.2858947e-18,
2117325697617090304,94,8.932157e-17,1.2758031e-18,
2117325697617090304,95,9.151977e-17,1.2528639e-18,
2117325697617090304,96,9.3514396e-17,1.2305267e-18,
2117325697617090304,97,9.514103e-17,1.2200785e-18,
2117325697617090304,98,9.6094525e-17,1.2210573e-18,
2117325697617090304,99,9.6583104e-17,1.2282657e-18,
2117325697617090304,100,9.687353e-17,1.2325731e-18,
2117325697617090304,101,9.690571e-17,1.2243141e-18,
2117325697617090304,102,9.676114e-17,1.203535e-18,
2117325697617090304,103,9.677254e-17,1.1803529e-18,
2117325697617090304,104,9.7048185e-17,1.1640972e-18,
2117325697617090304,105,9.72847e-17,1.1555895e-18,
2117325697617090304,106,9.774143e-17,1.1559805e-18,
2117325697617090304,107,9.837061e-17,1.1582356e-18,
2117325697617090304,108,9.914984e-17,1.1557729e-18,
2117325697617090304,109,9.9647206e-17,1.1411675e-18,
2117325697617090304,110,1.0026777e-16,1.1216836e-18,
2117325697617090304,111,1.0076084e-16,1.100441e-18,
2117325697617090304,112,1.0104539e-16,1.0829827e-18,
2117325697617090304,113,1.01223144e-16,1.0739769e-18,
2117325697617090304,114,1.01367986e-16,1.0732119e-18,
2117325697617090304,115,1.01568316e-16,1.0768995e-18,
2117325697617090304,116,1.0177538e-16,1.0786135e-18,
2117325697617090304,117,1.0227028e-16,1.0768528e-18,
2117325697617090304,118,1.0299174e-16,1.0693937e-18,
2117325697617090304,119,1.0345176e-16,1.0527096e-18,
2117325697617090304,120,1.0377533e-16,1.0317984e-18,
2117325697617090304,121,1.0368277e-16,1.0078805e-18,
2117325697617090304,122,1.0343949e-16,9.861809e-19,
2117325697617090304,123,1.0281185e-16,9.6488e-19,
2117325697617090304,124,1.0176167e-16,9.42382e-19,
2117325697617090304,125,1.0091115e-16,9.22583e-19,
2117325697617090304,126,1.0005354e-16,9.021667e-19,
2117325697617090304,127,9.943986e-17,8.831004e-19,
2117325697617090304,128,9.9333764e-17,8.683895e-19,
2117325697617090304,129,9.9022506e-17,8.5310745e-19,
2117325697617090304,130,9.882766e-17,8.4145775e-19,
2117325697617090304,131,9.906517e-17,8.368375e-19,
2117325697617090304,132,9.9437314e-17,8.364631e-19,
2117325697617090304,133,9.985301e-17,8.3837655e-19,
2117325697617090304,134,1.0003347e-16,8.3841254e-19,
2117325697617090304,135,1.00099025e-16,8.356741e-19,
2117325697617090304,136,9.993568e-17,8.277863e-19,
2117325697617090304,137,9.967885e-17,8.153094e-19,
2117325697617090304,138,9.9388444e-17,7.990776e-19,
2117325697617090304,139,9.903863e-17,7.799389e-19,
2117325697617090304,140,9.863632e-17,7.59345e-19,
